"id","a2.pos","z","t","r.z","z.o","a1","a2","u","v","d1","d2","x1","x2"
1,2,0,74.1909511491532,1,0,1.79963651910954,2.82037973474852,2.82037973474852,Inf,0,0,1,1
2,0,1,0,1,1,0,0,0,Inf,1,1,1,1
3,2,0,12.6509434730328,1,0,1.49960120168613,4.38647260453071,4.38647260453071,Inf,0,0,1,0
4,2,0,255.613969239675,1,0,3.18172065443139,5.3519728306417,5.3519728306417,Inf,0,0,0,0
5,1,0,7.92452024265318,1,0,0,0.937409828874443,0.937409828874443,Inf,0,0,1,0
6,3,0,191.153287551687,0,2,1.95448658292569,4.36125002704937,4.36125002704937,Inf,0,0,0,0
7,1,0,61.9536903380876,1,0,0,2.21835608451481,2.21835608451481,Inf,0,0,0,0
8,3,0,277.136970574631,1,0,3.18788695716309,4.07233955379544,4.07233955379544,Inf,0,0,0,0
9,3,0,114.241575357523,1,0,3.17171182194882,4.34912310104918,4.34912310104918,Inf,0,0,0,0
10,1,0,48.3185677953319,1,0,0,1.76191708046131,1.76191708046131,Inf,0,0,1,0
11,2,0,80.4248319924893,1,0,1.29611349242601,3.96643869360839,3.96643869360839,Inf,0,0,1,0
12,0,0,3.86066802774857,1,0,0,0,0,Inf,0,0,1,1
13,1,0,114.119965577758,1,0,0,1.05358310935543,1.05358310935543,Inf,0,0,0,0
14,1,0,32.3263301030793,1,0,0,2.40835250495159,2.40835250495159,Inf,0,0,1,1
15,3,0,47.9524460966121,1,0,2.73248496297899,3.86688582631708,3.86688582631708,Inf,0,0,0,1
16,1,0,10.982159495735,1,0,0,0.739147072509611,0.739147072509611,Inf,0,0,1,1
17,3,0,14.2365279493499,1,0,3.89576989578604,5.30596123927233,5.30596123927233,Inf,0,0,0,1
18,1,0,20.4069004918286,1,0,0,1.68886035326625,1.68886035326625,Inf,0,0,0,1
19,3,0,390.242460408033,1,0,3.08898331730161,5.99827359714806,5.99827359714806,Inf,0,0,1,0
20,1,0,0.850222757182757,1,0,0,2.11229705253268,0,2.11229705253268,0,1,0,1
21,3,0,220.424701147549,0,2,2.20525485450787,4.100353752403,4.100353752403,Inf,0,0,0,0
